Variable,Nombre,Grado_Best,Grado_Worst,Diferencia_D,Abs_Diferencia
X5,Trabaja,2.803699,1.757135,-1.046564,1.046564
X2,Zona,2.845259,1.840895,-1.004364,1.004364
X8,Tam.Fam,0.929518,1.92602,0.996502,0.996502
X6,Beca,0.883721,1.831153,0.947432,0.947432
X3,Ciclo,2.927238,2.912151,-0.015087,0.015087
X1,Sexo,2.936073,2.943598,0.007525,0.007525
X10,Desaprobados,0.97774,0.982583,0.004843,0.004843
X7,Educ.Jefe,0.966948,0.971315,0.004367,0.004367
X9,Asistencia,0.99772,0.996452,-0.001268,0.001268
X4,Ingreso,1.0,1.0,0.0,0.0
