X1_sexo,X2_zona,X3_ciclo,X4_ingreso_familiar,X5_trabaja,X6_beca,X7_educ_jefe,X8_tam_familiar,X9_asistencia,X10_cursos_desaprobados,X11_promedio_final
Masculino,Rural,2,361.15,Sí,Sí,Primaria,3,85.5,2,13.28
Femenino,Rural,6,1392.99,No,No,Sin educación,3,84.4,1,13.28
Femenino,Rural,3,2388.12,No,No,Primaria,6,85.7,0,13.28
Masculino,Rural,2,709.53,No,No,Secundaria,11,89.2,1,13.28
Femenino,Urbana,6,3935.3,No,No,Primaria,3,90.2,1,13.28
Femenino,Rural,6,870.88,No,No,Primaria,3,88.6,0,13.28
Femenino,Rural,3,493.12,No,No,Secundaria,4,79.9,2,13.28
Femenino,Rural,10,575.34,No,No,Primaria,2,89.5,3,13.28
Femenino,Rural,3,970.02,No,No,Superior técnica,7,89.5,3,13.28
Femenino,Rural,1,1024.0,Sí,No,Superior técnica,10,70.5,0,13.28
Femenino,Rural,4,1582.61,Sí,Sí,Primaria,8,68.6,1,13.28
Femenino,Rural,1,1594.62,No,Sí,Primaria,4,89.3,1,13.28
Femenino,Rural,1,447.72,Sí,Sí,Sin educación,4,79.7,0,13.28
Femenino,Urbana,2,2660.32,No,Sí,Superior técnica,4,84.6,0,13.28
Femenino,Rural,3,1756.66,No,No,Superior universitaria,10,81.1,2,13.28
Femenino,Rural,2,805.86,No,No,Sin educación,5,88.3,0,13.28
Femenino,Rural,7,3141.86,No,Sí,Secundaria,6,85.4,2,13.28
Masculino,Urbana,3,2273.55,Sí,No,Superior técnica,7,88.5,0,13.28
Masculino,Urbana,4,2356.37,No,No,Superior universitaria,1,83.0,1,13.27
Femenino,Rural,4,1480.17,Sí,No,Secundaria,4,69.8,1,13.27
Femenino,Urbana,4,1370.19,No,Sí,Primaria,6,85.4,2,13.27
Femenino,Rural,10,1672.16,No,No,Sin educación,5,89.3,1,13.27
Masculino,Urbana,5,668.92,No,No,Superior técnica,6,74.3,0,13.27
Femenino,Rural,3,842.35,Sí,Sí,Primaria,5,74.8,1,13.27
Femenino,Rural,1,273.89,No,No,Primaria,7,79.1,1,13.27
Masculino,Rural,2,438.3,No,Sí,Sin educación,1,87.8,2,13.27
Masculino,Rural,9,1252.82,Sí,Sí,Superior universitaria,5,85.1,2,13.27
Masculino,Rural,3,371.42,Sí,Sí,Primaria,6,77.3,1,13.27
Masculino,Rural,9,879.21,No,No,Primaria,5,80.5,2,13.27
Masculino,Urbana,4,1108.76,No,No,Secundaria,4,86.7,2,13.27
Femenino,Rural,9,3060.93,No,No,Primaria,5,86.8,0,13.27
Femenino,Urbana,1,2147.29,No,Sí,Primaria,6,87.6,1,13.27
Femenino,Urbana,3,874.94,No,No,Secundaria,6,87.5,2,13.27
Femenino,Urbana,6,3578.32,Sí,No,Superior universitaria,3,76.0,2,13.27
Femenino,Rural,3,1544.71,Sí,No,Secundaria,8,73.6,1,13.27
Masculino,Urbana,1,2798.91,No,No,Primaria,6,80.2,3,13.27
Masculino,Urbana,3,2065.75,No,No,Secundaria,8,90.3,0,13.27
Femenino,Urbana,4,2409.87,No,No,Secundaria,5,78.4,1,13.27
Femenino,Rural,10,1023.75,Sí,No,Primaria,10,69.5,2,13.27
Masculino,Urbana,1,2842.65,Sí,No,Primaria,4,83.0,1,13.27
Masculino,Rural,1,2050.92,Sí,Sí,Secundaria,5,82.6,2,13.27
Femenino,Rural,4,609.18,No,No,Primaria,5,91.0,2,13.27
Femenino,Rural,2,1319.0,No,No,Sin educación,7,90.8,0,13.27
Femenino,Rural,1,718.32,No,No,Sin educación,1,87.8,1,13.27
Femenino,Urbana,4,879.49,Sí,Sí,Primaria,5,84.5,2,13.27
Masculino,Rural,1,3743.0,Sí,No,Superior técnica,7,80.0,3,13.27
Masculino,Rural,9,596.07,No,No,Primaria,7,85.5,2,13.27
Femenino,Rural,1,706.08,Sí,No,Secundaria,5,75.1,1,13.27
Femenino,Urbana,5,1693.68,No,No,Secundaria,3,88.9,4,13.27
Masculino,Rural,3,631.86,Sí,No,Secundaria,5,83.4,0,13.27
Femenino,Rural,6,1380.46,No,No,Secundaria,10,95.3,1,13.27
Femenino,Rural,6,740.81,No,Sí,Sin educación,1,84.8,1,13.27
Femenino,Urbana,3,2040.58,No,No,Secundaria,1,81.8,1,13.27
Masculino,Rural,3,611.49,Sí,Sí,Primaria,6,74.0,1,13.27
Femenino,Rural,1,413.83,No,No,Sin educación,5,87.1,2,13.27
Masculino,Rural,6,652.16,Sí,No,Primaria,9,75.6,0,13.26
Femenino,Rural,10,858.46,Sí,No,Secundaria,5,83.2,1,13.26
Femenino,Urbana,1,1821.5,No,No,Secundaria,4,79.1,1,13.26
Femenino,Rural,4,1771.37,No,Sí,Secundaria,9,77.8,1,13.26
Femenino,Rural,4,1015.57,Sí,Sí,Secundaria,5,81.8,2,13.26
Femenino,Rural,7,1071.37,Sí,No,Secundaria,9,75.2,1,13.26
Femenino,Rural,2,1677.92,No,Sí,Primaria,11,100.0,2,13.26
Masculino,Urbana,7,1406.14,No,No,Secundaria,5,81.6,0,13.26
Femenino,Rural,2,214.59,No,No,Primaria,2,89.1,3,13.26
Masculino,Rural,1,2324.18,No,No,Superior técnica,4,87.2,2,13.26
Masculino,Urbana,4,998.48,No,No,Primaria,1,91.4,0,13.26
Femenino,Rural,2,1903.55,Sí,No,Superior técnica,5,71.5,1,13.26
Masculino,Rural,9,1409.9,Sí,No,Secundaria,5,71.8,2,13.26
Femenino,Urbana,6,1472.58,No,No,Primaria,4,84.5,0,13.26
Masculino,Rural,6,518.84,No,No,Sin educación,3,83.4,3,13.26
Masculino,Urbana,2,899.98,No,No,Sin educación,2,92.1,1,13.26
Femenino,Urbana,4,3988.88,No,No,Superior técnica,10,87.5,2,13.26
Femenino,Rural,1,962.08,No,Sí,Primaria,9,86.5,2,13.26
Masculino,Rural,6,1980.37,No,No,Primaria,5,80.7,1,13.26
Masculino,Urbana,4,3183.85,No,No,Secundaria,1,85.7,3,13.26
Masculino,Rural,6,662.84,Sí,Sí,Sin educación,6,90.9,0,13.26
Masculino,Rural,3,2111.94,No,No,Secundaria,7,80.9,1,13.26
Masculino,Rural,4,2042.71,No,Sí,Primaria,10,84.2,0,13.26
Masculino,Rural,1,1319.44,Sí,Sí,Superior técnica,2,82.9,2,13.26
Femenino,Urbana,4,2771.07,No,No,Secundaria,7,85.3,2,13.26
Femenino,Urbana,2,909.57,Sí,No,Primaria,5,88.6,2,13.26
Masculino,Rural,2,1053.6,No,Sí,Primaria,4,96.4,3,13.26
Femenino,Urbana,2,1489.41,No,No,Secundaria,1,97.1,3,13.26
Masculino,Rural,1,4407.43,No,No,Secundaria,8,84.3,2,13.26
Masculino,Rural,5,1148.05,No,Sí,Sin educación,6,91.2,0,13.26
Femenino,Rural,7,666.51,Sí,Sí,Primaria,5,80.1,2,13.26
Femenino,Urbana,6,4209.04,No,No,Secundaria,7,80.2,2,13.26
Masculino,Rural,8,679.92,Sí,No,Secundaria,7,70.3,2,13.26
Femenino,Urbana,5,2634.65,Sí,No,Superior técnica,3,80.6,1,13.26
Femenino,Rural,5,2339.91,No,No,Primaria,5,88.7,1,13.26
Masculino,Rural,3,361.37,Sí,No,Secundaria,9,68.4,0,13.26
Femenino,Urbana,2,649.19,Sí,No,Superior universitaria,2,76.3,4,13.26
Femenino,Rural,6,514.79,No,No,Primaria,5,83.9,0,13.26
Masculino,Rural,3,503.03,Sí,No,Secundaria,12,79.4,1,13.26
Masculino,Rural,1,344.02,No,No,Primaria,4,93.2,1,13.26
Femenino,Urbana,4,1040.23,No,No,Primaria,6,79.9,0,13.26
Femenino,Rural,6,1034.69,No,No,Secundaria,9,77.6,1,13.25
Masculino,Rural,3,836.0,No,No,Secundaria,4,87.8,2,13.25
Femenino,Urbana,1,2264.59,Sí,No,Superior técnica,5,75.7,2,13.25
Femenino,Rural,4,1466.21,No,No,Secundaria,9,91.8,2,13.25
Masculino,Rural,2,712.86,No,No,Secundaria,4,93.1,3,13.25
Masculino,Urbana,10,3874.81,No,No,Secundaria,4,80.8,1,13.25
Femenino,Urbana,1,2136.0,No,No,Secundaria,4,81.1,4,13.25
Masculino,Rural,5,527.8,No,No,Sin educación,9,92.2,2,13.25
Femenino,Urbana,5,3876.74,No,No,Primaria,11,80.2,1,13.25
Masculino,Rural,4,712.7,No,Sí,Secundaria,7,74.6,0,13.25
Masculino,Rural,3,2117.08,No,No,Superior universitaria,2,85.1,2,13.25
Masculino,Rural,6,551.6,No,No,Primaria,2,79.6,1,13.25
Masculino,Urbana,4,1614.63,No,No,Sin educación,1,76.5,1,13.25
Masculino,Rural,4,1170.77,No,No,Primaria,8,84.4,0,13.25
Femenino,Rural,4,1005.39,Sí,No,Superior técnica,11,71.1,1,13.25
Masculino,Rural,2,872.8,Sí,Sí,Sin educación,1,78.6,0,13.25
Femenino,Rural,4,1468.62,Sí,Sí,Primaria,3,66.3,1,13.25
Masculino,Rural,7,1590.65,Sí,No,Superior técnica,3,71.2,1,13.25
